id,day_hour,no_get,no_post,no_head,no_of_clients
1,2019-01-25 6,0,10,0,10
2,2019-01-31 21,0,30,0,30
3,"",1,0,0,1
4,2019-01-31 18,0,10,0,10
5,2019-01-24 5,0,10,0,10
6,2019-01-31 17,0,10,0,10
7,2019-01-27 8,0,10,0,10
8,2019-01-31 12,0,10,0,10
9,2019-01-30 11,0,20,0,20
10,2019-01-22 3,243705,39956,3996,287657
11,2019-01-31 15,0,20,0,20
12,2019-01-31 20,0,30,0,30
13,2019-01-31 14,0,10,0,10
14,2019-01-29 10,0,10,0,10
15,2019-01-31 22,0,30,0,30
16,2019-01-22 5,1,0,0,1
17,2019-01-31 16,0,10,0,10
18,2019-01-28 9,0,10,0,10
19,2019-01-31 19,0,10,0,10
20,2019-01-31 23,0,40,0,40
21,2019-01-22 4,26969,3994,0,30963
22,2019-01-26 7,0,10,0,10
23,2019-01-31 13,0,10,0,10
