id,day_hour,no_get,no_post,no_head,no_of_clients
1,2019-01-25 6,0,10,0,10
2,2019-01-31 21,0,30,0,30
3,2019-01-31 18,0,10,0,10
4,2019-01-24 5,0,10,0,10
5,2019-01-31 17,0,10,0,10
6,2019-01-27 8,0,10,0,10
7,2019-01-31 12,0,10,0,10
8,2019-01-30 11,0,19,0,19
9,2019-01-22 3,243703,39956,3996,287655
10,2019-01-31 15,0,20,0,20
11,2019-01-31 20,0,30,0,30
12,2019-01-31 14,0,10,0,10
13,2019-01-29 10,0,10,0,10
14,2019-01-31 22,0,30,0,30
15,2019-01-22 5,1,0,0,1
16,2019-01-31 16,0,10,0,10
17,2019-01-28 9,0,10,0,10
18,2019-01-31 19,0,10,0,10
19,2019-01-31 23,0,40,0,40
20,2019-01-22 4,26969,3994,0,30963
21,2019-01-26 7,0,10,0,10
22,2019-01-31 13,0,10,0,10
