day_hour,clientip,row_id,GET,POST,HEAD,hour,no_of_client
2019-01-22 3,40.77.167.129,9000,8000,1000,0,3,9000
2019-01-22 3,207.46.13.104,6000,5000,1000,0,3,6000
2019-01-22 3,172.20.2.174,1000,1000,0,0,3,1000
2019-01-22 4,2.179.141.99,1000,0,1000,0,4,1000
2019-01-22 3,204.18.198.248,9000,8000,1000,0,3,9000
2019-01-22 4,54.36.148.18,1000,1000,0,0,4,1000
2019-01-22 3,104.194.24.33,1000,1000,0,0,3,1000
2019-01-22 4,5.209.200.219,2000,2000,0,0,4,2000
2019-01-22 3,54.36.148.32,1000,1000,0,0,3,1000
2019-01-22 3,207.46.13.136,10000,9000,1000,0,3,10000
2019-01-22 4,66.111.54.250,3000,3000,0,0,4,3000
2019-01-22 3,173.249.54.67,6000,6000,0,0,3,6000
2019-01-22 3,46.224.77.32,4000,4000,0,0,3,4000
2019-01-22 4,40.77.167.130,1000,1000,0,0,4,1000
2019-01-22 3,54.36.149.63,1000,1000,0,0,3,1000
2019-01-22 3,5.78.198.52,14000,5000,9000,0,3,14000
2019-01-22 3,5.209.200.218,19000,17000,2000,0,3,19000
2019-01-22 3,54.36.148.161,1000,0,1000,0,3,1000
2019-01-22 3,66.249.66.91,17000,16000,1000,0,3,17000
2019-01-22 4,66.249.66.195,6000,5000,1000,0,4,6000
2019-01-22 4,31.56.96.52,1000,1000,0,0,4,1000
2019-01-22 3,89.199.193.251,1000,1000,0,0,3,1000
2019-01-22 3,54.36.148.117,1000,1000,0,0,3,1000
2019-01-22 4,54.36.148.11,1000,1000,0,0,4,1000
2019-01-22 4,5.62.206.250,1000,1000,0,0,4,1000
2019-01-22 3,5.78.180.75,1000,1000,0,0,3,1000
2019-01-22 3,51.15.15.54,2000,2000,0,0,3,2000
2019-01-22 3,2.185.221.79,1000,1000,0,0,3,1000
2019-01-22 3,54.36.149.92,1000,1000,0,0,3,1000
2019-01-22 4,91.99.72.16,3000,2000,1000,0,4,3000
2019-01-22 4,66.249.66.92,3000,3000,0,0,4,3000
2019-01-22 3,66.249.64.66,1000,1000,0,0,3,1000
2019-01-22 3,17.58.102.43,3000,3000,0,0,3,3000
2019-01-22 4,204.18.198.249,1000,1000,0,0,4,1000
2019-01-22 3,207.46.13.115,7000,5000,2000,0,3,7000
2019-01-22 3,5.211.97.39,34000,25000,5000,4000,3,34000
2019-01-22 3,91.99.72.15,13000,12000,1000,0,3,13000
2019-01-22 4,207.46.13.137,1000,1000,0,0,4,1000
2019-01-22 3,54.36.148.18,1000,1000,0,0,3,1000
2019-01-22 3,178.253.33.51,6000,6000,0,0,3,6000
2019-01-22 4,5.78.198.53,2000,1000,1000,0,4,2000
2019-01-22 3,54.36.149.70,1000,1000,0,0,3,1000
2019-01-22 3,5.160.157.20,2000,2000,0,0,3,2000
2019-01-22 3,2.177.12.140,16000,13000,3000,0,3,16000
2019-01-22 3,2.179.141.98,5000,3000,2000,0,3,5000
2019-01-22 3,54.36.149.17,1000,0,1000,0,3,1000
2019-01-22 3,34.247.132.53,1000,1000,0,0,3,1000
2019-01-22 3,54.36.148.87,1000,1000,0,0,3,1000
2019-01-22 3,5.112.52.254,2000,2000,0,0,3,2000
2019-01-22 3,54.36.148.232,1000,1000,0,0,3,1000
2019-01-22 3,157.55.39.245,3000,2000,1000,0,3,3000
2019-01-22 3,54.36.149.35,1000,1000,0,0,3,1000
2019-01-22 4,5.211.97.40,2000,2000,0,0,4,2000
2019-01-22 4,2.177.12.141,2000,2000,0,0,4,2000
2019-01-22 3,54.36.149.58,1000,0,1000,0,3,1000
2019-01-22 3,66.111.54.249,35000,32000,3000,0,3,35000
2019-01-22 3,54.36.149.41,1000,1000,0,0,3,1000
2019-01-22 3,66.249.66.194,25000,22000,3000,0,3,25000
2019-01-22 3,31.56.96.51,21000,20000,1000,0,3,21000
