id,day_hour,clientip,GET,POST,HEAD,hour,no_of_client
1,2019-01-28 9,54.36.149.47,0,1,0,9,1
2,2019-01-31 16,31.56.96.64,0,2,0,16,2
3,2019-01-22 3,40.77.167.129,7995,1000,0,3,8995
4,2019-01-31 13,54.36.149.51,0,1,0,13,1
5,2019-01-27 8,31.56.96.56,0,2,0,8,2
6,2019-01-22 3,207.46.13.104,4992,998,0,3,5990
7,2019-01-30 11,66.249.66.202,0,2,0,11,2
8,2019-01-31 16,91.99.72.28,0,1,0,16,1
9,2019-01-30 11,31.56.96.59,0,4,0,11,4
10,2019-01-22 3,172.20.2.174,998,0,0,3,998
11,2019-01-22 4,2.179.141.99,0,999,0,4,999
12,2019-01-25 6,40.77.167.132,0,5,0,6,5
13,2019-01-27 8,91.99.72.20,0,1,0,8,1
14,2019-01-22 3,204.18.198.248,7989,996,0,3,8985
15,2019-01-31 14,40.77.167.140,0,5,0,14,5
16,2019-01-31 23,31.56.96.72,0,8,0,23,8
17,2019-01-22 4,54.36.148.18,999,0,0,4,999
18,2019-01-31 15,54.36.149.53,0,2,0,15,2
19,2019-01-22 3,104.194.24.33,997,0,0,3,997
20,2019-01-31 16,54.36.149.54,0,1,0,16,1
21,2019-01-22 5,31.56.96.52,1,0,0,5,1
22,2019-01-22 4,5.209.200.219,1998,0,0,4,1998
23,2019-01-26 7,66.249.66.198,0,1,0,7,1
24,2019-01-31 23,54.36.149.62,0,4,0,23,4
25,2019-01-31 23,40.77.167.150,0,20,0,23,20
26,2019-01-24 5,54.36.149.43,0,1,0,5,1
27,2019-01-31 20,91.99.72.32,0,3,0,20,3
28,2019-01-22 3,54.36.148.32,999,0,0,3,999
29,2019-01-31 15,66.249.66.206,0,2,0,15,2
30,2019-01-22 3,207.46.13.136,8990,999,0,3,9989
31,2019-01-30 11,40.77.167.137,0,10,0,11,10
32,2019-01-31 21,40.77.167.147,0,15,0,21,15
33,2019-01-22 4,66.111.54.250,2997,0,0,4,2997
34,2019-01-26 7,91.99.72.19,0,1,0,7,1
35,2019-01-22 3,173.249.54.67,5994,0,0,3,5994
36,2019-01-22 3,46.224.77.32,3990,0,0,3,3990
37,2019-01-31 14,54.36.149.52,0,1,0,14,1
38,2019-01-31 15,91.99.72.27,0,2,0,15,2
39,2019-01-28 9,31.56.96.57,0,2,0,9,2
40,2019-01-31 23,66.249.66.215,0,4,0,23,4
41,2019-01-24 5,91.99.72.17,0,1,0,5,1
42,2019-01-31 20,54.36.149.58,0,3,0,20,3
43,"",n/2019:03:57:04,1,0,0,"",1
44,2019-01-22 4,40.77.167.130,1000,0,0,4,1000
45,2019-01-22 3,54.36.149.63,999,0,0,3,999
46,2019-01-22 3,5.78.198.52,4996,8992,0,3,13988
47,2019-01-22 3,5.209.200.218,16977,1998,0,3,18975
48,2019-01-22 3,54.36.148.161,0,999,0,3,999
49,2019-01-31 20,66.249.66.211,0,3,0,20,3
50,2019-01-30 11,91.99.72.23,0,2,0,11,2
51,2019-01-31 14,31.56.96.62,0,2,0,14,2
52,2019-01-22 3,66.249.66.91,15976,1000,0,3,16976
53,2019-01-31 13,40.77.167.139,0,5,0,13,5
54,2019-01-31 18,31.56.96.66,0,2,0,18,2
55,2019-01-28 9,40.77.167.135,0,5,0,9,5
56,2019-01-22 4,66.249.66.195,4993,997,0,4,5990
57,2019-01-28 9,66.249.66.200,0,1,0,9,1
58,2019-01-31 15,40.77.167.141,0,10,0,15,10
59,2019-01-22 4,31.56.96.52,998,0,0,4,998
60,2019-01-31 18,40.77.167.144,0,5,0,18,5
61,2019-01-25 6,66.249.66.197,0,1,0,6,1
62,2019-01-22 3,.249.66.194,1,0,0,3,1
63,2019-01-22 3,89.199.193.251,999,0,0,3,999
64,2019-01-31 19,66.249.66.210,0,1,0,19,1
65,2019-01-31 21,54.36.149.59,0,3,0,21,3
66,2019-01-31 12,91.99.72.24,0,1,0,12,1
67,2019-01-31 12,31.56.96.60,0,2,0,12,2
68,2019-01-31 19,31.56.96.67,0,2,0,19,2
69,2019-01-31 22,91.99.72.34,0,3,0,22,3
70,2019-01-22 3,54.36.148.117,997,0,0,3,997
71,2019-01-22 4,54.36.148.11,999,0,0,4,999
72,2019-01-31 19,91.99.72.31,0,1,0,19,1
